delta,delta_steps,count
-0.0297619048, -2400, 128
-0.0166666667, -1344, 448
-0.0160714286, -1296, 192
-0.0148809524, -1200, 3072
-0.0136904762, -1104, 192
-0.0130952381, -1056, 448
-0.0095238095, -768, 640
-0.0083333333, -672, 2816
-0.0077380952, -624, 640
-0.0071428571, -576, 640
-0.0065476190, -528, 2816
-0.0053571429, -432, 640
-0.0029761905, -240, 192
-0.0023809524, -192, 128
-0.0017857143, -144, 2048
-0.0011904762, -96, 768
-0.0005952381, -48, 192
+0.0000000000, 0, 8320
+0.0005952381, 48, 192
+0.0011904762, 96, 768
+0.0017857143, 144, 2048
+0.0023809524, 192, 128
+0.0029761905, 240, 192
+0.0053571429, 432, 640
+0.0065476190, 528, 2816
+0.0071428571, 576, 640
+0.0077380952, 624, 640
+0.0083333333, 672, 2816
+0.0095238095, 768, 640
+0.0130952381, 1056, 448
+0.0136904762, 1104, 192
+0.0148809524, 1200, 3072
+0.0160714286, 1296, 192
+0.0166666667, 1344, 448
+0.0297619048, 2400, 128
